id,created_at,text,location_name,country,place_type,username,name,user_location,retweet_count,favorite_count,lang
429167217976958976,Fri Jan 31 08:20:12 +0000 2014,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridge http://t.co/ZWmE54jhBP,,,,saramo,saramo,"Essex, England",22.0,4.0,en
429379822314614785,Fri Jan 31 22:25:01 +0000 2014,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,,,,DemandAction,Demand Action,,18.0,8.0,en
429235096919359488,Fri Jan 31 12:49:56 +0000 2014,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,,,,DC_Police,DevonCornwall Police,"Devon and Cornwall, England",17.0,2.0,en
428986795586383872,Thu Jan 30 20:23:16 +0000 2014,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,,,,bradybuzz,Brady Campaign,"Washington, D.C.",15.0,5.0,en
429238790310203392,Fri Jan 31 13:04:37 +0000 2014,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @MailOnline Just #crime fighters? Nope!!!,,,,MikePannett,"Mike Pannett, author","York,North Yorkshire",8.0,7.0,en
429509723516194817,Sat Feb 01 07:01:12 +0000 2014,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…,,,,naushad1002,♚ηοτ ѕо дшεѕомξ♚™ ,CITY OF DREAMS (BOMBAYY),7.0,,en
429509617756811264,Sat Feb 01 07:00:47 +0000 2014,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,,,,AAPRevolutionCG,MANISH GUPTA,Bhilai,5.0,,en
429509135437017089,Sat Feb 01 06:58:52 +0000 2014,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,,,,snehashanti,sneha shanti,Mumbai,5.0,,en
429509033045659648,Sat Feb 01 06:58:28 +0000 2014,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,,,,DeepHarshdeep05,harsh deep,,5.0,,en
429508763708817408,Sat Feb 01 06:57:23 +0000 2014,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,,,,AshaAholic,Asha Greyjoy,University of Southern Comfort,2.0,,en
429508217303875584,Sat Feb 01 06:55:13 +0000 2014,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,,,,VISHSAI,SAI VISHAL,,5.0,,en
429508122604883969,Sat Feb 01 06:54:50 +0000 2014,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,,,,tenACEous_b1u,A Mut Bumpin Boosie ,SIGMA LAND blasting Hatch,2.0,,en
429507949934157824,Sat Feb 01 06:54:09 +0000 2014,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,,,,prklbrln,kuilu,Berlin,18.0,,en
429507930975510528,Sat Feb 01 06:54:05 +0000 2014,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,,,,tweetingpritha,Pritha,,5.0,,en
429507700716613632,Sat Feb 01 06:53:10 +0000 2014,Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking drunk coming back home...,,,,CherryFlavoredd,Kay.,USC '15 • D(M)V,2.0,,en
429507388056412160,Sat Feb 01 06:51:55 +0000 2014,"India News Delhi Police arrests three  in Rs 8 cr heist, some cash recovered, mastermind absconding http://t.co/HiyzKtG4cN",,,,Ghulam_Rasool1,Ghulam Rasool,Karachi Pakistan,,,en
429507387393703936,Sat Feb 01 06:51:55 +0000 2014,"India News Police sniffer dog's bark lands man in Mumbai jail for 10 years, High Court orders his release http://t.co/KAd6IIFW7r",,,,Ghulam_Rasool1,Ghulam Rasool,Karachi Pakistan,,,en
429507291763576832,Sat Feb 01 06:51:32 +0000 2014,Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blaming AAP.,,,,shiven_gaur,shivendra gaur,France,5.0,,en
429506469214437376,Sat Feb 01 06:48:16 +0000 2014,I added a video to a @YouTube playlist http://t.co/cir6DgKsvp World's Scariest Police Chases 4 (Crime Documentary),,,,jared97924980,jared,Victoria bc,,,en
429506433801924608,Sat Feb 01 06:48:08 +0000 2014,New #Legal Remedy Against Police Activities Within Criminal Investigations - Mondaq News Alerts (registration) http://t.co/S1XdGyPOUE,,,,LawTweets1,Michelle Henry,Sydney Australia,,,en
429506012626702336,Sat Feb 01 06:46:27 +0000 2014,"Police seek witnesses to grass fires (Delahey  - VIC):
http://t.co/7OEdJQvhMi",,,,Aus_Crime_News,AustralianCrimeNews,FACEBOOK,,,en
429505339621662720,Sat Feb 01 06:43:47 +0000 2014,It's so shallow as for evry crime police is being blamed in #capital by govnment!they mean police has to b present ther b4 crime take place.,,,,Mmunshi01,M,South Africa,,,en
429505236148174848,Sat Feb 01 06:43:22 +0000 2014,Police swoop on kidnappers’ den in Onitsha - http://t.co/HeOoghHHKt http://t.co/AuQrW32iil,,,,royaltimesng,Royal Times Nigeria,"Ilorin, Kwara State, Nigeria",,,en
429505189544878081,Sat Feb 01 06:43:11 +0000 2014,"RT @Gun_Shots: ""95% of the time police arrive too late to prevent a crime or arrest the suspect."" - US News and World Report, 17 June 1998",,,,JMcGuire6094,J. McGuire,California,51.0,,en
429505128605818880,Sat Feb 01 06:42:57 +0000 2014,"@BansheeTvShow The entire police department, the bartender, the gay tech all were in the showdown but only Carrie is charged with a crime?",,,,Greatbear100,SgtDavid A Tartaglia,"Cranston, RI",,,en
